filename,language,model,title,ref_length,reference,base_problem,rag_problem,base_time,rag_time,base_tokens,rag_tokens,base_from_cache,rag_from_cache,rag_chunks,rag_chunk_score,bertscore_base_f1,bertscore_rag_f1,bertscore_diff,bertscore_better
2603.28537v2.pdf,en,gemma-3-12b-it-iq2xs:latest,,431,"To train some of these methods, which require machine learning, or to compute parameters or select hyperparameters for those that do not, a large amount of domain-specific data is needed. In this work","How can we create training datasets for automatic grading of student answers, while respecting privacy regulations and intellectual property protections?","How can reliable automated grading of student answers be achieved, despite challenges arising from language differences and annotator bias?",0.96,0.95,23,23,True,True,3,133.32994588216147,0.8116,0.7895,-0.022,Base
2603.29518v1.pdf,en,gemma-3-12b-it-iq2xs:latest,,238,", inform, request, confirm) via DAs and enumerate the semantic content with slot value pairs. In this work, our objective is to analyse whether providing a task demonstrator to the generator enhances ",How can enriched meaning representations improve the quality of language generation in dialogue tasks?,How can natural language generation models effectively generate diverse language forms to interact fluently and accurately in dialogue tasks?,0.65,0.91,16,22,True,True,3,144.0120620727539,0.8198,0.8012,-0.0186,Base
2603.29765v1.pdf,en,gemma-3-12b-it-iq2xs:latest,,278,"Expertise finetuning can address this issue; however, it often leads to overspecialization, and developing a single multi-domain expert remains difficult due to diverging objectives. Furthermore, mult","How can domain-specific expertise be combined into a single, efficient model without costly retraining or overspecialization?",How can we efficiently combine expertise from diverse models without costly multitask training?,0.96,0.61,23,15,True,True,3,100.91563415527344,0.8407,0.8173,-0.0234,Base
2603.29557v1.pdf,en,gemma-3-12b-it-iq2xs:latest,,188,", 2025] aim to support the complete lifecy- cle of autonomous research, with the ul- timate goal of producing a full research paper, including code generation and ex- perimental execution.",How can scientific ideas be generated that are diverse and avoid information cocoons arising from over-reliance on parametric knowledge and static literature?,How can LLMs leverage retrieved literature and their relationships to generate novel and divergent ideas and continuous refinement?,1.13,0.86,27,21,True,True,3,113.00893147786458,0.8104,0.8153,0.0049,RAG
2603.29777v1.pdf,en,gemma-3-12b-it-iq2xs:latest,,141,Agent Layer The long-term goal of the system is to achieve an agent-based architecture that controls the perception and reasoning components.,"How can real-time video analysis be deployed in public safety applications, balancing latency, privacy, and resource limitations, particularly under edge-computing conditions?","How can video analysis systems be deployed in public spaces to balance the need for timely detection of critical events with constraints on latency, privacy, and resource limitations?",1.29,1.32,31,32,True,True,3,172.77015686035156,0.8341,0.8256,-0.0085,Base
2603.27844v1.pdf,en,gemma-3-12b-it-iq2xs:latest,,104,", 2025]: 3 models, 23+ experiments, and 50 IMO-level problems on a single H100 80GB with a 5-hour limit.",How can correlated errors in multiple attempts at mathematical reasoning be reduced to improve the accuracy of majority voting?,How can correlated errors in multiple attempts at mathematical reasoning be mitigated to improve the overall accuracy of the system?,0.87,0.9,21,22,True,True,3,87.23362731933594,0.7988,0.7983,-0.0005,Base
2603.29570v1.pdf,en,gemma-3-12b-it-iq2xs:latest,,322,"We formulate this as a conditional image generation problem, wherein the objective is to learn a function: :( , ) Here, ∼N( 0, )denotes a Gaussian noise vector capturing sto- chastic variation, ∈Y is ","How can we accurately generate key postures of Bharatanatyam dance, maintaining anatomical accuracy and stylistic integrity?","How can we accurately generate key postures of Bharatanatyam dance, maintaining anatomical accuracy and stylistic integrity?",0.9,0.9,22,22,True,True,3,178.07244873046875,0.7868,0.7868,0.0,RAG
ru_04_klassifikatsiya-tekstov-s-pomoschyu-svertochnyh-neyronnyh-se.pdf,ru,mistral:7b,,147,Это привело к множественным попыткам использования этой модели в других областях с целью улучшить результаты в сравнении с традиционными методами .,"Какова эффективность использования сверточных нейронных сетей для классификации коротких текстов в качестве отдельного элемента сложной задачи, такой как создание интеллектуального онлайн-консультанта или чат-бота?","""Каковы оптимальные методы и параметры использования сверточных нейронных сетей для классификации коротких текстов, а также какой результат показывает построенный классификатор в сравнении с другими методами (включая опорные векторы и рекуррентные нейронные сети) для применения в чат-боте?""",1.05,1.48,76,107,True,True,3,336.9530944824219,0.7767,0.8167,0.04,RAG
ru_01_primenenie-neyronnyh-setey-v-obrabotke-estestvennogo-yazyka.pdf,ru,mistral:7b,,193,"В-третьих, существует проблема подделки текстовых данных, когда созданный компью - тером текст может быть использован для распространения ложной информации или манипуляции общественным мнением.",Какова роль и развитие нейронных сетей в автоматическом переводе естественного языка?,"Какова роль и перспектива применения нейронных сетей в обработке естественного языка для автоматизации задач, связанных с текстовой информацией?",0.39,0.87,29,52,True,True,3,322.0530700683594,0.7746,0.7893,0.0147,RAG
ru_09_metody-raspoznavaniya-imenovannyh-suschnostey-v-russkom-yazy.pdf,ru,mistral:7b,,231,Важно й частью в решении задач обработки естественного языка является выбо р векторного представления слов . Цель данной работы - разработать эффективный метод для решения задачи распознавания именова,"Какова эффективная архитектура рекуррентной нейронной сети для распознавания именованных сущностей в русском языке, учитывая контекст слова и условные случайные поля?",Какова эффективная методика распознавания именованных сущностей в русском языке при помощи рекуррентных нейронных сетей?,0.87,0.59,62,44,True,True,3,322.13787841796875,0.8416,0.8531,0.0115,RAG
ru_08_analiz-tonalnosti-teksta-metodami-mashinnogo-obucheniya.pdf,ru,mistral:7b,,179,18413/2518 -1092 -2021 -6-1-0-7 ВВЕДЕНИЕ Анализ тональности текста это подраздел обработки естественного языка ( NLP) целью кото рого является классификация текста по тональности.,Какова эффективность различных методов машинного обучения для анализа тональности текста на естественном языке?,Какие методы и подходы являются наиболее результативными для анализа тональности текста на естественном языке при использовании традиционного машинного обучения и глубокого обучения?,0.55,0.83,38,59,True,True,3,296.6589762369792,0.8022,0.7898,-0.0123,Base
ru_17_sravnitelnyy-analiz-modeley-transformera-dlya-klassifikatsii.pdf,ru,mistral:7b,,220,"Татищева, 20а, кандидат технических наук, ORCID: 0000 -0003 -1378 -3553, e-mail: В данной статье представлен обзор подхода к классификации неструктурированной текстовой информа - ции с использованием ",Какая является эффективная модель трансформера для классификации неструктурированной текстовой информации и какие факторы влияют на её эффективность?,"""Какова эффективность использования трансформеров (например, BERT, GPT и RoBERTa) в задаче классификации неструктурированной текстовой информации и какие факторы могут влиять на их эффективность?""",0.74,1.27,53,74,True,True,3,311.03404744466144,0.8369,0.8214,-0.0155,Base
ru_03_generatsiya-teksta-s-pomoschyu-neyronnyh-setey.pdf,ru,mistral:7b,,312,"Данный метод уменьшает количество ошибок при построении частотных для языка слов, поскольку в нём уделяется большое внимание грамматике и сохраняется смысл фраз. Цель исследования Реализация модели ге","Качество генерации текста с помощью нейронных сетей и способы улучшения его качества (пост-обучение, генеративно-состязательные сети).","""Какова эффективность и качество генерации текста с помощью нейросетевых моделей в сравнении с традиционными методами?""",0.76,0.66,53,46,True,True,3,312.07787068684894,0.8147,0.8026,-0.0121,Base
ru_12_intellektualnyy-analiz-teksta.pdf,ru,mistral:7b,,284,"В частности, он включает в себя процессы компиляции, организации и анализа больших коллекций документов с целью извлечения 477 Научно -образовательный журнал для студентов и преподавателей «StudNet» №",Какие методы и подходы можно использовать для автоматизированного интеллектуального анализа текстовых данных с целью извлечения новых и потенциально полезных знаний?,"""Какие методы и подходы можно использовать для интеллектуального анализа неструктурированных текстовых данных с целью получения новой информации, организации больших коллекций документов и обнаружения ранее неизвестных связей между текстами?""",0.97,1.35,59,82,True,True,3,347.018310546875,0.8094,0.8676,0.0582,RAG
ru_02_metody-glubokogo-obucheniya-dlya-obrabotki-tekstov-na-estest.pdf,ru,mistral:7b,,431,Важной задачей при анализе рентгеногр афических изображений медицинских биологических объектов и их фрагментов является решение задачи улучшения качества изображения. С целью улучш е- ния качества рен,Как оптимизировать архитектуру сверточных нейронных сетей для эффективного решения задач обработки естественного языка?,"Какова оптимальная архитектура сверточной нейронной сети для улучшения точности в задачах обработки естественного языка, и как можно эффективно выбрать параметры такой сети с помощью эволюционного алгоритма?",0.7,1.13,45,79,True,True,3,312.37640380859375,0.7554,0.7711,0.0158,RAG
ru_11_klassifikatsiya-nauchnyh-tekstov-po-spetsialnostyam-metodami.pdf,ru,mistral:7b,,348,"Выявление смысла является основной задачей анализа содержимого текстов. В данной статье в качестве обучающей и тестовой выборки текстов были отобраны документы: авто - рефераты и диссертации, которые ",Какова эффективность классификации научных текстовых материалов по специальностям с помощью методов машинного обучения?,"Какая является эффективная методика классификации научных текстов по специальностям с использованием алгоритмов машинного и глубокого обучения, и как можно увеличить точность и быстродействие такой классификации?",0.63,1.08,43,74,True,True,3,310.4383239746094,0.785,0.7846,-0.0004,Base
ru_18_intellektualnaya-obrabotka-tekstovoy-informatsii-obzor-avtom.pdf,ru,mistral:7b,,276,"Технологическая основа автоматизированной суммаризации Основу составляют различные алгоритмы, суть работы которых описывается в данной статье нема- тематическим языком с целью получения общего предста","Какая эффективность и точность используются современными моделями автоматизированной суммаризации текста, а также как выбирать подходящую модель для разных задач?","""Каковы актуальные парадигмы и сервисы автоматизированной суммаризации текста, используемые современными нейросетевыми моделями, и как они сравнимы по качеству и объёму создаваемых резюме?""",0.83,1.06,58,75,True,True,3,312.68479410807294,0.8209,0.8106,-0.0102,Base
ru_13_sravnitelnyy-analiz-algoritmov-klassifikatsii-tekstov-ot-kla.pdf,ru,mistral:7b,,253,"Классификация текстовых документов ключевая задача обработки естественного языка (NLP) и машинного обучения, имеющая множество приложений: фильтрация спама, тематическая сортировка новостей, анализ то",Какая является эволюция качества классификации текстовых документов от классических алгоритмов машинного обучения к современным глубинным нейросетевым моделям?,"""Каковы преимущества и ограничения различных алгоритмов классификации текстов, от традиционных методов до глубинных нейросетевых моделей (например, BERT), в контексте обработки естественного языка?""",0.86,1.12,59,77,True,True,3,312.4667256673177,0.7973,0.8087,0.0114,RAG
ru_07_effektivnost-neyrosetevyh-algoritmov-v-avtomaticheskom-refer.pdf,ru,mistral:7b,,210,"Статья посвящена анализу роли и эффективности нейросетевых алгоритмов в задачах автоматического рефе - рирования и суммаризации текстов, которые являются ключевыми в области обработки естественного яз",Какая эффективность нейросетевых алгоритмов в автоматическом реферировании и суммаризации текстов в области обработки естественного языка (NLP)?,"Какова роль и эффективность нейросетевых алгоритмов в автоматическом реферировании и суммаризации текстов в области обработки естественного языка (NLP), а также как могут помочь глубинное обучение, трансформеры, BERT и GPT для улучшения качества реферирования и доступности информации?",0.79,1.63,55,107,True,True,3,308.819091796875,0.9165,0.8778,-0.0387,Base
ru_19_bazovaya-arhitektura-metody-i-algoritmy-sistemy-izvlecheniya.pdf,ru,mistral:7b,,261,"Сердюк Базовая архитектура, методы и алгоритмы системы извлечения темпоральной информации из текстов на естественном языке Аннотация. В данной статье представляется базовая архитектура системы извлече","Какова базовая архитектура, методы и алгоритмы для извлечения темпоральной информации из текстов на естественном языке?","""Какова базовая архитектура и какие методы и алгоритмы необходимы для извлечения темпоральной информации из текстов на естественном языке, используя синтаксические зависимости между словами, семантические роли групп слов и методы машинного обучения?""",0.66,1.37,44,91,True,True,3,295.82179768880206,0.9278,0.8786,-0.0492,Base
ru_16_kontsept-predobuchennyh-yazykovyh-modeley-v-kontekste-inzhen.pdf,ru,mistral:7b,,273,"Автор обосновывает актуальность вопроса о содержа нии в предобученных языковых моделях имплицитных, интернализированных знаний, извлеченных из текстовых корпусов, использовавшихся для предобучения ( p","Какова роль и значение предобученных языковых моделей в инженерии знаний, а также их способности к захвату (извлечению) знаний и рассуждениям?","Какова роль и содержание имплицитных, интернализированных знаний в предобученных языковых моделях, использующихся для предобучения (pretraining) или переноса обучения (transfer learning), и как они могут быть использованы для поиска и извлечения неструктурированных знаний, а также в качестве самостоятельных баз знаний?",0.77,1.58,53,106,True,True,3,329.990478515625,0.821,0.8838,0.0628,RAG
ru_14_issledovanie-primenimosti-modeley-glubokogo-obucheniya-dlya-.pdf,ru,mistral:7b,,220,Подвесовский ИССЛЕДОВАНИЕ ПРИМЕНИМОСТИ МОДЕЛЕЙ ГЛУБОКОГО ОБУЧЕНИЯ ДЛЯ ЗАДАЧИ АСПЕКТНОГО АНАЛИЗА ТОНАЛЬНОСТИ ТЕКСТОВЫХ СООБЩЕНИЙ Рассмотрена задача аспектного анализа тональности текстовых сообщений на,"Как создать эффективную модель глубокого обучения для автоматического аспектного анализа тональности текстовых сообщений на естественном языке, учитывая неоднозначность слов, структуру текстов и синтаксические ошибки.","""Какие глубокообученные модели эффективны для аспектного анализа тональности текстовых сообщений на естественном языке, и какой метод интеллектуального анализа может быть применен для определения субъекта обсуждения и объекта в социальных сетях?""",1.21,1.38,78,94,True,True,3,324.9743143717448,0.7496,0.7397,-0.0099,Base
2603.27949v1.pdf,en,mistral:7b,,451,"The experimental results demonstrate that EnsemJudge achieves state-of-the-art per- formance, showing strong generalization and robustness across various text types and attack settings. This work high","What is the scientific problem addressed in this paper? The paper aims to develop a robust framework for detecting Chinese Large Language Model (LLM)-generated text, addressing the challenge of improving the reliability and effectiveness of LLM-generated text detection methods, particularly in real-world scenarios involving out-of-domain inputs or adversarial samples, and with limited work focusing on Chinese text detection.","The scientific problem is: How can we develop a robust and reliable framework for detecting Chinese Large Language Model (LLM)-generated texts in real-world scenarios, especially when dealing with out-of-domain inputs or adversarial samples, to mitigate the misuse of LLMs?",1.2,0.86,81,60,True,True,3,106.98555501302083,0.8535,0.8345,-0.019,Base
2603.29336v1.pdf,en,mistral:7b,,247,"In constructing this cor- pus, we developed a design policy based on key issues in defining the EL task, and clarified how to handle cases in which it is difficult to determine whether a mention shoul","What is the lack of comprehensive language resources for Japanese Entity Linking, and how can an annotated corpus be developed to address this gap, providing rich coverage of linguistic expressions specific to Japan for training and evaluating Japanese entity linking systems?","The scientific problem addressed in this study is to develop and construct an annotated corpus for training and evaluating Japanese entity linking systems, with a focus on linguistic expressions specific to Japan, to address the limited resources available for evaluating Japanese entity linking systems compared to English.",0.78,0.88,52,59,True,True,3,101.94932556152344,0.8162,0.8201,0.0039,RAG
2603.29979v1.pdf,en,mistral:7b,,408,"Structural Feature Engineering Objective Given contentcwith structural featuresSF(c), our optimization objective is to find the optimal structural configurationSF∗that maximizes citation probability a","How does the structural organization of content impact citation performance by large language models (LLMs) in generative engine optimization, and can a systematic methodology be developed to optimize content structure for improved LLM-generated citations?","How does the structural organization of content impact citation behavior in AI-powered search engines, and how can we develop a systematic, data-driven methodology for optimizing content structure using Generative Engine Optimization (GEO)?",0.72,0.66,48,47,True,True,3,137.2655995686849,0.7962,0.7891,-0.0071,Base
2604.02194v1.pdf,en,mistral:7b,,342,"This effectively aligns the LLM s generative capabilities with our context-filtering objective. For this, we construct a dataset as follows: for a pair (qi,{di,j}k j=1)∈ D Q, we em- ploy an external L","How to enhance the robustness of Retrieval-Augmented Language Models (RALMs) by leveraging the inherent neuron-level sparsity of Large Language Models (LLMs), focusing on direct noise suppression and targeted layer optimization for evidence distillation?","How can we develop a robust Retrieval-Augmented Language Model that addresses performance degradation when presented with irrelevant or noisy retrieved contexts, while leveraging the inherent neuron-level sparsity of Large Language Models, instead of relying on coarse-grained parameter updates at the layer or module level?",0.9,1.02,61,72,True,True,3,111.78534189860027,0.7777,0.78,0.0022,RAG
2603.28858v1.pdf,en,mistral:7b,,297,"In this work, we proposeOPTIMER, which decouples ratio selection from training: we train one CPT model per dataset, extract each model s distribution vector, which represents the parameter shift induc","What is the scientific problem addressed in this paper? The paper proposes a solution to optimize the data mixture ratio selection for continual pre-training of large language models, which is a critical yet sensitive hyperparameter that can significantly impact model performance and waste compute resources if suboptimally chosen.","What is the optimal data mixture ratio for continual pre-training of large language models (LLMs) in various languages and domains, and how can this ratio be efficiently determined post-hoc via Bayesian optimization to improve model performance?",0.88,0.72,60,49,True,True,3,148.0951131184896,0.8215,0.8257,0.0042,RAG
